#name network latitude longitude useless depth
STA_-30_-120 A -30 -120 0 0
STA_-30_-110 A -30 -110 0 0
STA_-30_-100 A -30 -100 0 0
STA_-30_-90 A -30 -90 0 0
STA_-30_-80 A -30 -80 0 0
STA_-30_-70 A -30 -70 0 0
STA_-30_-60 A -30 -60 0 0
STA_-30_-50 A -30 -50 0 0
STA_-30_-40 A -30 -40 0 0
STA_-30_-30 A -30 -30 0 0
STA_-30_-20 A -30 -20 0 0
STA_-30_-10 A -30 -10 0 0
STA_-30_0 A -30 0 0 0
STA_-30_10 A -30 10 0 0
STA_-30_20 A -30 20 0 0
STA_-30_30 A -30 30 0 0
STA_-30_40 A -30 40 0 0
STA_-30_50 A -30 50 0 0
STA_-30_60 A -30 60 0 0
STA_-30_70 A -30 70 0 0
STA_-30_80 A -30 80 0 0
STA_-30_90 A -30 90 0 0
STA_-30_100 A -30 100 0 0
STA_-30_110 A -30 110 0 0
STA_-30_120 A -30 120 0 0
STA_-30_130 A -30 130 0 0
STA_-30_140 A -30 140 0 0
STA_-30_150 A -30 150 0 0
STA_-30_160 A -30 160 0 0
STA_-30_170 A -30 170 0 0
STA_-30_180 A -30 180 0 0
STA_-20_-180 A -20 -180 0 0
STA_-20_-170 A -20 -170 0 0
STA_-20_-160 A -20 -160 0 0
STA_-20_-150 A -20 -150 0 0
STA_-20_-140 A -20 -140 0 0
STA_-20_-130 A -20 -130 0 0
STA_-20_-120 A -20 -120 0 0
STA_-20_-110 A -20 -110 0 0
STA_-20_-100 A -20 -100 0 0
STA_-20_-90 A -20 -90 0 0
STA_-20_-80 A -20 -80 0 0
STA_-20_-70 A -20 -70 0 0
STA_-20_-60 A -20 -60 0 0
STA_-20_-50 A -20 -50 0 0
STA_-20_-40 A -20 -40 0 0
STA_-20_-30 A -20 -30 0 0
STA_-20_-20 A -20 -20 0 0
STA_-20_-10 A -20 -10 0 0
STA_-20_0 A -20 0 0 0
STA_-20_10 A -20 10 0 0
STA_-20_20 A -20 20 0 0
STA_-20_30 A -20 30 0 0
STA_-20_40 A -20 40 0 0
STA_-20_50 A -20 50 0 0
STA_-20_60 A -20 60 0 0
STA_-20_70 A -20 70 0 0
STA_-20_80 A -20 80 0 0
STA_-20_90 A -20 90 0 0
STA_-20_100 A -20 100 0 0
STA_-20_110 A -20 110 0 0
STA_-20_120 A -20 120 0 0
STA_-20_130 A -20 130 0 0
STA_-20_140 A -20 140 0 0
STA_-20_150 A -20 150 0 0
STA_-20_160 A -20 160 0 0
STA_-20_170 A -20 170 0 0
STA_-20_180 A -20 180 0 0
STA_-10_-180 A -10 -180 0 0
STA_-10_-170 A -10 -170 0 0
STA_-10_-160 A -10 -160 0 0
